Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range,Filename
TIC 141809359,88.75298647879869,0.08249808137345009,10,9,1,,EB,[ 9.00629258  9.5089662  10.41732478  9.94393503  9.51635135],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000141809359-0143-s_lc.fits
TIC 141809359,214.55240830339628,0.1982288181653792,11,10,0,,EB,[10.42516   9.820157 11.009987 10.429768  9.809584],/astro/store/epyc2/projects2/tess/sector012/tess2019140104343-s0012-0000000141809359-0144-s_lc.fits
TIC 141809359,242.76046071929696,0.18056944850059056,11,10,0,,EB,[ 9.672498   9.564122  11.007558  10.238493  10.5144005],/astro/store/epyc2/projects2/tess/sector013/tess2019169103026-s0013-0000000141809359-0146-s_lc.fits
TIC 150431920,244.95331619951043,0.10887410642415113,9,5,0,,notEB,[1.3274858 5.764778  9.476715  6.0155    3.2845976],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000150431920-0120-s_lc.fits
TIC 150431920,244.95331619951043,0.10887410642415113,11,5,1,,notEB,[ 0.35959357  6.25142723 11.18441348  6.58462465  2.95217897],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000150431920-0120-s_lc.fits
TIC 150431920,2904.748147477417,0.39437370969601737,6,2,0,,notEB,[1.3043752 1.0280813 6.0698743 1.457822  0.8718957],/astro/store/epyc2/projects2/tess/sector002/tess2018234235059-s0002-0000000150431920-0121-s_lc.fits
TIC 150431920,353.9879611620533,0.15870331131586707,19,5,0,,notEB,[ 1.1131696  1.3053203 19.82927    1.3762335  1.2877393],/astro/store/epyc2/projects2/tess/sector003/tess2018263035959-s0003-0000000150431920-0123-s_lc.fits
TIC 150431920,353.9879611620533,0.15870331131586707,26,5,1,,notEB,[ 0.29643931  0.26529264 26.96412235  0.52461809  0.32626303],/astro/store/epyc2/projects2/tess/sector003/tess2018263035959-s0003-0000000150431920-0123-s_lc.fits
TIC 150431920,34.88425039128296,0.03030887071456676,23,5,0,,notEB,[ 0.406081    0.7572639  23.90395     0.95798403  0.5479154 ],/astro/store/epyc2/projects2/tess/sector004/tess2018292075959-s0004-0000000150431920-0124-s_lc.fits
TIC 150431920,88.55340944979919,0.1874640675743507,26,5,0,,notEB,[-0.12790596 -0.10262865 26.768473    0.1193881  -0.12142932],/astro/store/epyc2/projects2/tess/sector005/tess2018319095959-s0005-0000000150431920-0125-s_lc.fits
