,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range,Filename
1989,TIC 229776076,6266.391606991524,0.2515015521369279,6,6,0,,EB,[6.560541  6.5616045 6.5779376 6.555501  6.554055 ],/astro/store/epyc2/projects2/tess/sector022/tess2020049080258-s0022-0000000229776076-0174-s_lc.fits
1990,TIC 233193908,205.61297262276096,0.27688104162914245,5,5,0,,notEB,[5.470993  5.3140597 5.163181 ],/astro/store/epyc2/projects2/tess/sector022/tess2020049080258-s0022-0000000233193908-0174-s_lc.fits
1991,TIC 233193908,89.59402878989687,0.1716566774431959,5,3,1,,notEB,[2.79830034 2.82302342 5.03230457 4.08994349 2.89266007],/astro/store/epyc2/projects2/tess/sector022/tess2020049080258-s0022-0000000233193908-0174-s_lc.fits
1992,TIC 232610445,154.94220567810305,0.06154052343682594,15,13,0,,EB,[13.588902 13.321881 15.94844  13.734883 11.178045],/astro/store/epyc2/projects2/tess/sector022/tess2020049080258-s0022-0000000232610445-0174-s_lc.fits
1993,TIC 233208885,7161.560744418536,0.06879368259176499,3,3,0,,EB,[3.1073787 3.174728  3.1839035 3.1471527 3.098206 ],/astro/store/epyc2/projects2/tess/sector022/tess2020049080258-s0022-0000000233208885-0174-s_lc.fits
1994,TIC 377307592,8198.632354325679,0.39879679681913793,3,3,0,,EB,[3.5358546 3.532808  3.5556915 3.5366433 3.5458224],/astro/store/epyc2/projects2/tess/sector022/tess2020049080258-s0022-0000000377307592-0174-s_lc.fits
1995,TIC 367853806,670.7099579237542,0.02743503798119194,9,9,0,,notEB,[9.165515 9.036026 9.278743 9.17265  9.069119],/astro/store/epyc2/projects2/tess/sector022/tess2020049080258-s0022-0000000367853806-0174-s_lc.fits
1996,TIC 367853806,671.9152922709941,0.028113055324165276,9,8,1,,EB,[8.9059729  8.78145617 9.01485344 8.91271869 8.81316327],/astro/store/epyc2/projects2/tess/sector022/tess2020049080258-s0022-0000000367853806-0174-s_lc.fits
1997,TIC 219878176,872.3796930723527,0.05740872258420652,25,24,0,,EB,[25.316738 24.823578 23.869944],/astro/store/epyc2/projects2/tess/sector022/tess2020049080258-s0022-0000000219878176-0174-s_lc.fits
1998,TIC 334678792,216.23726952515045,0.21186315331930067,3,3,0,,notEB,[3.2344944 3.2225487 3.5759943 2.9948637 3.4041486],/astro/store/epyc2/projects2/tess/sector022/tess2020049080258-s0022-0000000334678792-0174-s_lc.fits
1999,TIC 353894978,3233.277645860812,0.39468566609814926,4,4,0,,EB,[4.4592443 4.4763446 4.511131  4.445123  4.4524045],/astro/store/epyc2/projects2/tess/sector022/tess2020049080258-s0022-0000000353894978-0174-s_lc.fits
2000,TIC 420114772,337.432770326688,0.17757451100730368,6,6,0,,notEB,[6.6054053 6.5758457 6.9021215 6.5193634 6.845717 ],/astro/store/epyc2/projects2/tess/sector022/tess2020049080258-s0022-0000000420114772-0174-s_lc.fits
2001,TIC 420114772,306.12311980648747,0.12889664294141265,6,6,1,,notEB,[6.50469215 6.4730861  6.82195355 6.41269268 6.76164353],/astro/store/epyc2/projects2/tess/sector022/tess2020049080258-s0022-0000000420114772-0174-s_lc.fits
2002,TIC 258351350,11104.346545738123,0.3025243883588115,3,3,0,,EB,[3.2704136 3.331394  3.3677082 3.3478858 3.331533 ],/astro/store/epyc2/projects2/tess/sector022/tess2020049080258-s0022-0000000258351350-0174-s_lc.fits
2003,TIC 1884438653,227.8590751703592,0.17524317311960805,8,8,0,,notEB,[8.393262 8.340061 8.049885],/astro/store/epyc2/projects2/tess/sector022/tess2020049080258-s0022-0000001884438653-0174-s_lc.fits
2004,TIC 1884438653,102.1588382607359,0.04319911391627953,6,5,1,,notEB,[4.97881055 6.01677245 6.30726399 3.98907255 5.30994795],/astro/store/epyc2/projects2/tess/sector022/tess2020049080258-s0022-0000001884438653-0174-s_lc.fits
2005,TIC 233720276,25659.03714841498,0.33782539699681435,4,4,0,,EB,[4.342879 4.35825  4.373277 4.370858 4.354568],/astro/store/epyc2/projects2/tess/sector022/tess2020049080258-s0022-0000000233720276-0174-s_lc.fits
