Filename,Unnamed: 0,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000269696438-0152-s_lc.fits,1432,TIC 269696438,110.52306629030693,0.10048248889908612,6,4,1,,notEB,[3.39000892 4.09187198 6.08920377 3.80747713 5.04622363]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000279979429-0152-s_lc.fits,1433,TIC 279979429,256.75423707507804,0.0904268088745642,3,3,0,,notEB,[3.0231867 2.859357  3.3444288 3.1350255 3.0758321]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000287151976-0152-s_lc.fits,1490,TIC 287151976,71.46719745741306,0.052645095898237314,6,5,2,,notEB,[5.63534095 5.50765733 6.49534773 5.75507348 5.08935276]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000288471108-0152-s_lc.fits,1482,TIC 288471108,94.07868705424944,0.18755496656400966,7,7,2,,EB,[6.10609048 7.3840561  7.9140949  7.23807978 6.71408201]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000307985697-0152-s_lc.fits,1507,TIC 307985697,237.30277946730504,0.08052824891532058,5,4,0,,notEB,[3.902194 4.330132 5.118655]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000320474096-0152-s_lc.fits,1453,TIC 320474096,97.39044236921404,0.0074873777902580785,6,5,2,,notEB,[5.2331899  5.41436978 6.5780584  4.70550632 5.08531347]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000329248002-0152-s_lc.fits,1449,TIC 329248002,3541.455253311191,0.4515134743939369,4,4,0,,EB,[4.4119782 4.3571696 4.4911413 4.398045  4.4292154]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000353854078-0152-s_lc.fits,1493,TIC 353854078,12946.851340953324,0.4779178176468801,3,3,0,,EB,[3.678763  3.6848195 3.6874459 3.6756053 3.6768625]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000353894978-0152-s_lc.fits,1511,TIC 353894978,4197.5750681203945,0.4054218751843476,4,4,0,,EB,[4.3863263 4.42569   4.458685  4.3874035 4.409401 ]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000356015357-0152-s_lc.fits,1465,TIC 356015357,4004.80803058236,0.25720018141951145,10,10,0,,EB,[10.329465 10.272884 10.414842 10.284099 10.319628]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000356820646-0152-s_lc.fits,1439,TIC 356820646,3716.6529192737694,0.2940316093078886,3,3,0,,EB,[3.038162  3.0884888 3.1263654 3.070899  3.0942264]
