,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range,Filename
3216,TIC 229641091,5299.363706672386,0.24031944110094733,12,2,0,,notEB,[ 0.8074207   0.8093017  12.818021    0.77034247  0.73366684],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000229641091-0177-s_lc.fits
3217,TIC 233208885,2227.658694624558,0.11825154591365075,3,3,0,,EB,[3.0804965 3.1201677 3.1624112 3.1202586 3.1070487],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000233208885-0177-s_lc.fits
3218,TIC 288471108,134.92193192608187,0.22170121159128253,6,5,0,,notEB,[6.0705647 5.3227215 6.2716455 5.891207  5.5914893],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000288471108-0177-s_lc.fits
3219,TIC 288471108,143.3955462781207,0.17665059041459436,6,5,1,,notEB,[5.91715519 4.80312957 6.78260714 5.44830877 5.80258746],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000288471108-0177-s_lc.fits
3220,TIC 288471108,139.28647997302994,0.15992158000133005,6,5,2,,notEB,[4.49926123 6.16051747 6.74787341 5.5536372  5.27888157],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000288471108-0177-s_lc.fits
3221,TIC 288471108,134.92193192608187,0.22170121159128253,6,5,0,,notEB,[6.0705647 5.3227215 6.2716455 5.891207  5.5914893],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000288471108-0177-s_lc.fits
3222,TIC 288471108,143.3955462781207,0.17665059041459436,6,5,1,,notEB,[5.91715519 4.80312957 6.78260714 5.44830877 5.80258746],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000288471108-0177-s_lc.fits
3223,TIC 288471108,139.28647997302994,0.15992158000133005,6,5,2,,notEB,[4.49926123 6.16051747 6.74787341 5.5536372  5.27888157],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000288471108-0177-s_lc.fits
3224,TIC 288471108,134.92193192608187,0.22170121159128253,6,5,0,,notEB,[6.0705647 5.3227215 6.2716455 5.891207  5.5914893],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000288471108-0177-s_lc.fits
3225,TIC 288471108,143.3955462781207,0.17665059041459436,6,5,1,,notEB,[5.91715519 4.80312957 6.78260714 5.44830877 5.80258746],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000288471108-0177-s_lc.fits
3226,TIC 288471108,139.28647997302994,0.15992158000133005,6,5,2,,notEB,[4.49926123 6.16051747 6.74787341 5.5536372  5.27888157],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000288471108-0177-s_lc.fits
3227,TIC 258392991,139.28647997302994,0.15992158000133005,2,2,0,,notEB,[2.2772605 2.334066  2.735166  2.2523842 2.048329 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000258392991-0177-s_lc.fits
3228,TIC 237277760,20556.393126227995,0.3900075985613085,4,4,0,,EB,[4.7327065 4.7618876 4.775482  4.7626343 4.735266 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000237277760-0177-s_lc.fits
3229,TIC 160618494,1814.033367423945,0.21036497942591653,8,8,0,,EB,[8.102392 8.138874 8.176421 8.087137 8.004174],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000160618494-0177-s_lc.fits
3230,TIC 394130313,1814.033367423945,0.21036497942591653,3,2,0,,notEB,[2.3746786 2.2558494 3.1376777 1.5724047 2.3122003],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000394130313-0177-s_lc.fits
3231,TIC 198242678,16374.608935865108,0.3982164912581585,4,4,0,,EB,[4.3881807 4.387728  4.396146  4.395445  4.3930426],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000198242678-0177-s_lc.fits
3232,TIC 441739153,1601.3864952693107,0.29341401418029917,5,5,0,,EB,[5.637525  5.664593  5.6888905 5.548328  5.5771785],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000441739153-0177-s_lc.fits
3233,TIC 230080609,209.22739348145745,0.14385012625414223,3,3,0,,notEB,[3.5188746 3.4425983 3.9116056 3.3028462 3.498024 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000230080609-0177-s_lc.fits
3234,TIC 233738458,23.416914773374828,0.10900479542672047,4,1,0,,notEB,[0.41635084 0.3831223  4.2260838  0.16178799 0.20429401],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000233738458-0177-s_lc.fits
