,Unnamed: 0,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range,Filename
54883,54883,TIC 300871545,305.4844819417243,0.16950626308180933,8,7,1,,notEB,[7.82173963 7.22310864 8.32573874 7.45312351 7.47628295],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000300871545-0143-s_lc.fits
54884,54884,TIC 300871545,164.10369010105387,0.10141011076908793,8,7,2,,EB,[7.325559   8.07365402 8.84377183 7.90565696 6.69292141],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000300871545-0143-s_lc.fits
54927,54927,TIC 350765991,164.10369010105387,0.10141011076908793,15,3,0,,notEB,[ 0.14694145  0.14305355 15.801003    0.17898951  0.09708892],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000350765991-0143-s_lc.fits
54931,54931,TIC 278684936,164.10369010105387,0.10141011076908793,10,2,0,,notEB,[ 0.4711154   1.136804   10.095862    1.3691878   0.14944874],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000278684936-0143-s_lc.fits
54974,54974,TIC 350622185,46.2432776701911,0.022929910448368656,2,2,0,,notEB,[2.9154303 2.9157143 2.932944  2.9081132 2.8915665],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000350622185-0143-s_lc.fits
54997,54997,TIC 350443417,8985.75557681713,0.2720204373973274,4,4,0,,EB,[4.6715336 4.6719565 4.6873655 4.648091  4.640689 ],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000350443417-0143-s_lc.fits
55018,55018,TIC 220474209,1143.5250819374464,0.1495894244394633,4,4,0,,notEB,[4.5396647 4.6794133 4.7440724 4.4341474 4.120893 ],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000220474209-0143-s_lc.fits
55019,55019,TIC 220474209,1162.1542521639333,0.15871085214149203,5,4,1,,EB,[4.89372677 5.04122701 5.10947326 4.76871892 4.43769195],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000220474209-0143-s_lc.fits
55156,55156,TIC 177308817,90.92276437783288,0.04388083441441963,10,9,0,,notEB,[ 9.462633  9.210601 10.447475  9.554493  9.504749],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000177308817-0143-s_lc.fits
55160,55160,TIC 425064757,1320.9081012162178,0.023722868440829197,5,4,0,,notEB,[4.0330787 4.8278804 5.0901427 4.933051  4.88023  ],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000425064757-0143-s_lc.fits
55161,55161,TIC 425064757,669.5336445823522,0.006036313839882559,5,5,1,,notEB,[4.20017079 5.13845503 5.44806234 5.26261153 5.20025492],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000425064757-0143-s_lc.fits
55162,55162,TIC 425064757,703.9352675706152,0.00634852660964385,5,5,2,,EB,[4.17152617 5.11770044 5.42863229 5.2423881  5.17976472],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000425064757-0143-s_lc.fits
55172,55172,TIC 260416268,703.9352675706152,0.00634852660964385,4,1,0,,notEB,[0.23152512 1.2051516  4.233727   0.99978745 0.6134762 ],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000260416268-0143-s_lc.fits
55195,55195,TIC 55404385,8643.051851336477,0.2666214977988972,5,5,0,,EB,[5.906214  5.9354677 5.9669633 5.939349  5.9309793],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000055404385-0143-s_lc.fits
55629,55629,TIC 391887390,39.80193288545219,0.0793645997845469,2,0,0,,notEB,[0.7702503  0.5552832  2.5378973  0.95651543 0.8708094 ],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000391887390-0143-s_lc.fits
55797,55797,TIC 278956474,120.0098115394591,0.3553767271521716,6,5,0,,notEB,[4.469529 5.322638 6.220358 5.64292  4.941391],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000278956474-0143-s_lc.fits
56077,56077,TIC 141685465,901.2456980901677,0.2643933156961973,8,8,0,,notEB,[8.902552 8.87399  8.973207 8.776108 8.843571],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000141685465-0143-s_lc.fits
56078,56078,TIC 141685465,890.3994556537793,0.2672934962630417,8,8,1,,EB,[8.83195385 8.80283532 8.9039886  8.70304213 8.77182176],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000141685465-0143-s_lc.fits
56095,56095,TIC 350518984,890.3994556537793,0.2672934962630417,3,1,0,,notEB,[0.7731053  2.2598133  3.5606961  2.6628826  0.27663934],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000350518984-0143-s_lc.fits
56362,56362,TIC 309658221,399.83840088911023,0.09096394867325913,7,6,0,,notEB,[6.4819965 6.7799296 7.1787915 6.625815  6.3303947],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000309658221-0143-s_lc.fits
